" Nom de la classe d’actions"," Classe d’actifs","Devise","ISIN"," Date de valorisation","VL"," Evolution quotidienne en valeur"," Evolution quotidienne en %"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","11.06.2024"," 413,2096"," -1,0627"," -0,2565"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","10.06.2024"," 414,2723"," 0,0324"," 0,0078"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","07.06.2024"," 414,2399"," -2,6407"," -0,6334"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","06.06.2024"," 416,8806"," 3,6806"," 0,8908"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","05.06.2024"," 413,2000"," 2,9027"," 0,7075"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","04.06.2024"," 410,2973"," -1,8710"," -0,4539"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","03.06.2024"," 412,1683"," 2,2689"," 0,5535"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","31.05.2024"," 409,8994"," -1,5045"," -0,3657"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","30.05.2024"," 411,4039"," -0,9016"," -0,2187"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","29.05.2024"," 412,3055"," -5,6902"," -1,3613"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","28.05.2024"," 417,9957"," -0,5082"," -0,1214"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","27.05.2024"," 418,5039"," 0,3488"," 0,0834"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","24.05.2024"," 418,1551"," -4,6449"," -1,0986"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","23.05.2024"," 422,8000"," 3,8016"," 0,9073"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","22.05.2024"," 418,9984"," -0,1353"," -0,0323"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","21.05.2024"," 419,1337"," -0,0039"," -0,0009"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","20.05.2024"," 419,1376"," 0,9725"," 0,2326"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","17.05.2024"," 418,1651"," -2,2316"," -0,5308"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","16.05.2024"," 420,3967"," 4,6080"," 1,1083"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","15.05.2024"," 415,7887"," 4,2328"," 1,0285"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","14.05.2024"," 411,5559"," -0,0422"," -0,0103"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","13.05.2024"," 411,5981"," 0,6012"," 0,1463"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","10.05.2024"," 410,9969"," 3,7850"," 0,9295"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","09.05.2024"," 407,2119"," 1,2058"," 0,2970"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","08.05.2024"," 406,0061"," -1,3035"," -0,3200"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","07.05.2024"," 407,3096"," 2,1411"," 0,5284"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","06.05.2024"," 405,1685"," 1,5836"," 0,3924"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","03.05.2024"," 403,5849"," 5,7679"," 1,4499"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","02.05.2024"," 397,8170"," 2,8414"," 0,7194"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","01.05.2024"," 394,9756"," -5,1684"," -1,2916"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","30.04.2024"," 400,1440"," -3,2573"," -0,8075"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","29.04.2024"," 403,4013"," 3,0038"," 0,7502"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","26.04.2024"," 400,3975"," 7,5026"," 1,9096"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","25.04.2024"," 392,8949"," -4,7639"," -1,1980"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","24.04.2024"," 397,6588"," 4,4454"," 1,1305"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","23.04.2024"," 393,2134"," 3,6443"," 0,9355"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","22.04.2024"," 389,5691"," 0,4652"," 0,1196"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","19.04.2024"," 389,1039"," -2,7773"," -0,7087"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","18.04.2024"," 391,8812"," -2,3193"," -0,5884"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","17.04.2024"," 394,2005"," 0,7276"," 0,1849"
