,base,target,market,last,volume,converted_last,converted_volume,trust_score,bid_ask_spread_percentage,timestamp,last_traded_at,last_fetch_at,is_anomaly,is_stale,trade_url,token_info_url,coin_id,target_coin_id
38,UNI,USDT,"{'name': 'Binance', 'identifier': 'binance', 'has_trading_incentive': False}",7.134,1678809.91,"{'btc': 0.00011451, 'eth': 0.00292145, 'usd': 7.13, 'usd_v2': 7.13}","{'btc': 193.291, 'eth': 4931, 'usd': 12035446, 'usd_v2': 12035256}",green,0.028086,2024-10-08T20:13:04+00:00,2024-10-08T20:13:04+00:00,2024-10-08T20:14:19+00:00,False,False,https://www.binance.com/en/trade/UNI_USDT?ref=37754157,,uniswap,tether
39,LINK,USDT,"{'name': 'Binance', 'identifier': 'binance', 'has_trading_incentive': False}",10.9,2658558.69,"{'btc': 0.00017507, 'eth': 0.00446847, 'usd': 10.9, 'usd_v2': 10.89}","{'btc': 473.275, 'eth': 12080, 'usd': 29455949, 'usd_v2': 29450520}",green,0.091743,2024-10-08T20:01:20+00:00,2024-10-08T20:01:20+00:00,2024-10-08T20:01:20+00:00,False,False,https://www.binance.com/en/trade/LINK_USDT?ref=37754157,,chainlink,tether
43,STX,USDT,"{'name': 'Binance', 'identifier': 'binance', 'has_trading_incentive': False}",1.765,8216895.5,"{'btc': 2.833e-05, 'eth': 0.00072284, 'usd': 1.76, 'usd_v2': 1.76}","{'btc': 230.636, 'eth': 5885, 'usd': 14361413, 'usd_v2': 14360539}",green,0.056689,2024-10-08T20:15:10+00:00,2024-10-08T20:15:10+00:00,2024-10-08T20:15:10+00:00,False,False,https://www.binance.com/en/trade/STX_USDT?ref=37754157,,blockstack,tether
44,MKR,USDT,"{'name': 'Binance', 'identifier': 'binance', 'has_trading_incentive': False}",1401.0,11318.3795,"{'btc': 0.02252528, 'eth': 0.5749912, 'usd': 1400.62, 'usd_v2': 1400.22}","{'btc': 257.331, 'eth': 6569, 'usd': 16000808, 'usd_v2': 15996305}",green,0.071276,2024-10-08T20:03:22+00:00,2024-10-08T20:03:22+00:00,2024-10-08T20:03:22+00:00,False,False,https://www.binance.com/en/trade/MKR_USDT?ref=37754157,,maker,tether
46,AR,USDT,"{'name': 'Binance', 'identifier': 'binance', 'has_trading_incentive': False}",18.58,535086.1,"{'btc': 0.0002982, 'eth': 0.00761345, 'usd': 18.57, 'usd_v2': 18.57}","{'btc': 160.948, 'eth': 4109, 'usd': 10024244, 'usd_v2': 10022489}",green,0.054407,2024-10-08T20:00:28+00:00,2024-10-08T20:00:28+00:00,2024-10-08T20:00:28+00:00,False,False,https://www.binance.com/en/trade/AR_USDT?ref=37754157,,arweave,tether
49,BTC,USDT,"{'name': 'Binance', 'identifier': 'binance', 'has_trading_incentive': False}",62300.0,21429.19315,"{'btc': 0.9998809, 'eth': 25.511763, 'usd': 62267, 'usd_v2': 62267}","{'btc': 21491, 'eth': 548334, 'usd': 1338321929, 'usd_v2': 1338326929}",green,0.010016,2024-10-08T20:16:01+00:00,2024-10-08T20:16:01+00:00,2024-10-08T20:16:33+00:00,False,False,https://www.binance.com/en/trade/BTC_USDT?ref=37754157,,bitcoin,tether
50,ETH,USDT,"{'name': 'Binance', 'identifier': 'binance', 'has_trading_incentive': False}",2441.8,218585.066,"{'btc': 0.03919111, 'eth': 0.99995354, 'usd': 2440.59, 'usd_v2': 2440.35}","{'btc': 8532, 'eth': 217693, 'usd': 531324976, 'usd_v2': 531272910}",green,0.010409,2024-10-08T20:14:19+00:00,2024-10-08T20:14:19+00:00,2024-10-08T20:16:12+00:00,False,False,https://www.binance.com/en/trade/ETH_USDT?ref=37754157,,ethereum,tether
52,SOL,USDT,"{'name': 'Binance', 'identifier': 'binance', 'has_trading_incentive': False}",144.11,2438604.339,"{'btc': 0.00231298, 'eth': 0.0590152, 'usd': 144.04, 'usd_v2': 144.02}","{'btc': 5632, 'eth': 143694, 'usd': 350715225, 'usd_v2': 350680857}",green,0.016939,2024-10-08T20:16:15+00:00,2024-10-08T20:16:15+00:00,2024-10-08T20:16:15+00:00,False,False,https://www.binance.com/en/trade/SOL_USDT?ref=37754157,,solana,tether
54,BNB,USDT,"{'name': 'Binance', 'identifier': 'binance', 'has_trading_incentive': False}",585.5,290297.533,"{'btc': 0.00939733, 'eth': 0.23977099, 'usd': 585.21, 'usd_v2': 585.15}","{'btc': 2672, 'eth': 68179, 'usd': 166404447, 'usd_v2': 166388141}",green,0.017079,2024-10-08T20:14:19+00:00,2024-10-08T20:14:19+00:00,2024-10-08T20:16:13+00:00,False,False,https://www.binance.com/en/trade/BNB_USDT?ref=37754157,,binancecoin,tether
55,FTM,USDT,"{'name': 'Binance', 'identifier': 'binance', 'has_trading_incentive': False}",0.6688,94607772.0,"{'btc': 1.073e-05, 'eth': 0.00027388, 'usd': 0.66847, 'usd_v2': 0.668404}","{'btc': 1030, 'eth': 26290, 'usd': 64165580, 'usd_v2': 64159293}",green,0.014939,2024-10-08T20:14:20+00:00,2024-10-08T20:14:20+00:00,2024-10-08T20:16:13+00:00,False,False,https://www.binance.com/en/trade/FTM_USDT?ref=37754157,,fantom,tether
56,SEI,USDT,"{'name': 'Binance', 'identifier': 'binance', 'has_trading_incentive': False}",0.4378,211204737.8,"{'btc': 7.03e-06, 'eth': 0.00017929, 'usd': 0.437584, 'usd_v2': 0.437541}","{'btc': 1495, 'eth': 38132, 'usd': 93069603, 'usd_v2': 93060482}",green,0.022841,2024-10-08T20:15:15+00:00,2024-10-08T20:15:15+00:00,2024-10-08T20:16:17+00:00,False,False,https://www.binance.com/en/trade/SEI_USDT?ref=37754157,,sei-network,tether
57,RUNE,USDT,"{'name': 'Binance', 'identifier': 'binance', 'has_trading_incentive': False}",5.043,13400269.5,"{'btc': 8.094e-05, 'eth': 0.00206518, 'usd': 5.04, 'usd_v2': 5.04}","{'btc': 1082, 'eth': 27597, 'usd': 67355630, 'usd_v2': 67349030}",green,0.019818,2024-10-08T20:14:20+00:00,2024-10-08T20:14:20+00:00,2024-10-08T20:16:14+00:00,False,False,https://www.binance.com/en/trade/RUNE_USDT?ref=37754157,,thorchain,tether
58,PEPE,USDT,"{'name': 'Binance', 'identifier': 'binance', 'has_trading_incentive': False}",9.59e-06,31697956640837.0,"{'btc': 1.5392e-10, 'eth': 3.927e-09, 'usd': 9.59e-06, 'usd_v2': 9.58e-06}","{'btc': 4944, 'eth': 126153, 'usd': 307901807, 'usd_v2': 307871635}",green,0.104275,2024-10-08T20:15:15+00:00,2024-10-08T20:15:15+00:00,2024-10-08T20:16:17+00:00,False,False,https://www.binance.com/en/trade/PEPE_USDT?ref=37754157,,pepe,tether
59,NEAR,USDT,"{'name': 'Binance', 'identifier': 'binance', 'has_trading_incentive': False}",4.937,10747404.7,"{'btc': 7.924e-05, 'eth': 0.00202178, 'usd': 4.93, 'usd_v2': 4.93}","{'btc': 866.86, 'eth': 22118, 'usd': 53982975, 'usd_v2': 53977685}",green,0.020255,2024-10-08T20:15:12+00:00,2024-10-08T20:15:12+00:00,2024-10-08T20:16:14+00:00,False,False,https://www.binance.com/en/trade/NEAR_USDT?ref=37754157,,near,tether
61,RENDER,USDT,"{'name': 'Binance', 'identifier': 'binance', 'has_trading_incentive': False}",5.255,4357383.96,"{'btc': 8.434e-05, 'eth': 0.00215192, 'usd': 5.25, 'usd_v2': 5.25}","{'btc': 369.407, 'eth': 9425, 'usd': 23004543, 'usd_v2': 23004628}",green,0.019029,2024-10-08T20:14:28+00:00,2024-10-08T20:14:28+00:00,2024-10-08T20:16:20+00:00,False,False,https://www.binance.com/en/trade/RENDER_USDT?ref=37754157,,render-token,tether
62,JUP,USDT,"{'name': 'Binance', 'identifier': 'binance', 'has_trading_incentive': False}",0.7422,20429051.7,"{'btc': 1.191e-05, 'eth': 0.00030394, 'usd': 0.741833, 'usd_v2': 0.741761}","{'btc': 247.426, 'eth': 6313, 'usd': 15408251, 'usd_v2': 15406741}",green,0.013473,2024-10-08T20:14:26+00:00,2024-10-08T20:14:26+00:00,2024-10-08T20:16:18+00:00,False,False,https://www.binance.com/en/trade/JUP_USDT?ref=37754157,,jupiter-exchange-solana,tether
63,FET,USDT,"{'name': 'Binance', 'identifier': 'binance', 'has_trading_incentive': False}",1.433,48765988.8,"{'btc': 2.3e-05, 'eth': 0.00058683, 'usd': 1.43, 'usd_v2': 1.43}","{'btc': 1136, 'eth': 28975, 'usd': 70718589, 'usd_v2': 70711659}",green,0.069735,2024-10-08T20:15:10+00:00,2024-10-08T20:15:10+00:00,2024-10-08T20:16:13+00:00,False,False,https://www.binance.com/en/trade/FET_USDT?ref=37754157,,fetch-ai,tether
64,TRX,USDT,"{'name': 'Binance', 'identifier': 'binance', 'has_trading_incentive': False}",0.1599,301491493.3,"{'btc': 2.57e-06, 'eth': 6.548e-05, 'usd': 0.159821, 'usd_v2': 0.159805}","{'btc': 760.556, 'eth': 19405, 'usd': 47363000, 'usd_v2': 47358359}",green,0.0625,2024-10-08T20:14:19+00:00,2024-10-08T20:14:19+00:00,2024-10-08T20:16:13+00:00,False,False,https://www.binance.com/en/trade/TRX_USDT?ref=37754157,,tron,tether
65,ICP,USDT,"{'name': 'Binance', 'identifier': 'binance', 'has_trading_incentive': False}",8.007,2321647.77,"{'btc': 0.00012851, 'eth': 0.00327899, 'usd': 8.0, 'usd_v2': 8.0}","{'btc': 300.447, 'eth': 7666, 'usd': 18710084, 'usd_v2': 18708251}",green,0.024966,2024-10-08T20:14:21+00:00,2024-10-08T20:14:21+00:00,2024-10-08T20:16:15+00:00,False,False,https://www.binance.com/en/trade/ICP_USDT?ref=37754157,,internet-computer,tether
67,INJ,USDT,"{'name': 'Binance', 'identifier': 'binance', 'has_trading_incentive': False}",19.52,1245534.82,"{'btc': 0.0003133, 'eth': 0.00799373, 'usd': 19.51, 'usd_v2': 19.51}","{'btc': 399.019, 'eth': 10181, 'usd': 24848568, 'usd_v2': 24846133}",green,0.05123,2024-10-08T20:15:13+00:00,2024-10-08T20:15:13+00:00,2024-10-08T20:16:15+00:00,False,False,https://www.binance.com/en/trade/INJ_USDT?ref=37754157,,injective-protocol,tether
